timestamp,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,t,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,velocity.linear.x,velocity.linear.y,velocity.linear.z,velocity.angular.x,velocity.angular.y,velocity.angular.z,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,acc_bias.x,acc_bias.y,acc_bias.z,gyr_bias.x,gyr_bias.y,gyr_bias.z,jerk.x,jerk.y,jerk.z,snap.x,snap.y,snap.z,motors_0,motors_1,motors_2,motors_3
0.0,45273,1743729755,192749977,world,1743729755.19275,-3.002009782502866,-3.001832493040516,1.1598100566852028,0.0006764558524239,-0.0022781714104051,-0.7226287801991299,-0.6912322318659787,-0.0013990150399447,0.0002280752835755,3.25895981023786e-05,-0.0063240540676155,0.008703868580241,0.0458750479623822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009884119033813477,45274,1743729755,202739477,world,1743729755.2027397,-3.0020232265853046,-3.001829179968813,1.159810378213668,0.0007236775766997,-0.0022774550548628,-0.7227890597815111,-0.6910645878276483,-0.0011878216704681,0.0006444398730288,3.074555071816859e-05,-0.0081222215182665,0.0038082150785935,0.0447832417559178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0204620361328125,45275,1743729755,212738276,world,1743729755.2127385,-3.0020345880832218,-3.0018216838866536,1.1598106801316663,0.0007685350196943,-0.0022541280721095,-0.7229435923585992,-0.6909029530463752,-0.0009837121636166,0.0010663189401218,2.885223918069824e-05,-0.014491356720642,0.003333155922308,0.0422639803925934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03028702735900879,45276,1743729755,222739697,world,1743729755.2227397,-3.002043935025943,-3.0018099592241487,1.1598109634233429,0.0008356667823475,-0.0022151254645943,-0.7230917607235976,-0.6907479283022515,-0.000790726920826,0.0014909364629524,2.713877546241173e-05,-0.0158084543840675,0.0072713636339298,0.0462478549693652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03995966911315918,45277,1743729755,232744217,world,1743729755.2327442,-3.002051391430395,-3.0017939731494847,1.1598112317957996,0.000924302751992,-0.0021868172313227,-0.7232568961361046,-0.690574996424275,-0.0006129558443167,0.001920248297388,2.448789958609977e-05,-0.0176080675681172,0.0094702561474293,0.0501539865219769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.050064802169799805,45278,1743729755,242721796,world,1743729755.2427218,-3.002057096240397,-3.001773729888839,1.1598114681641514,0.0010133101884856,-0.0021539052522016,-0.7234220718824352,-0.6904019407620108,-0.0004525994568699,0.0023569213343907,2.147268300027082e-05,-0.0152472478723575,0.0055033532005845,0.041978624075756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06024336814880371,45279,1743729755,252740622,world,1743729755.2527406,-3.0020612594863247,-3.0017490050179525,1.159811674415996,0.0010719347432762,-0.0021178931323618,-0.7235601570077922,-0.6902572452900768,-0.0003082017694364,0.0028018935767826,1.8260494601234776e-05,-0.0078967746760492,-0.0007779746926927,0.0363781658891432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07017755508422852,45280,1743729755,262739897,world,1743729755.26274,-3.002064004743478,-3.001719873311661,1.1598118519945302,0.0010859344610928,-0.00208800626973,-0.7236925091920343,-0.690118550044484,-0.0001754878624353,0.003247412732761,1.6201559149875276e-05,-0.0024591389218901,-0.0063842796373998,0.0492593923792716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07987761497497559,45281,1743729755,272747278,world,1743729755.2727473,-3.002065439134069,-3.0016862647001297,1.159812005126327,0.0010656049123945,-0.0020598982156556,-0.7238656495430739,-0.6899370570690456,-4.739534793411293e-05,0.0036896472730264,1.3083358659292058e-05,0.0025267138975687,-0.0075086434046844,0.047188349244786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09018325805664062,45282,1743729755,282756329,world,1743729755.2827563,-3.002065594207607,-3.00164824085012,1.1598121202182183,0.001029627360873,-0.0020374445005365,-0.7240192637404516,-0.6897759740815415,8.092247665986239e-05,0.0041250074065993,7.245867373142707e-06,-2.5573560451605352e-05,-0.0100356255677322,0.0450932421596912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
