timestamp,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,t,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,velocity.linear.x,velocity.linear.y,velocity.linear.z,velocity.angular.x,velocity.angular.y,velocity.angular.z,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,acc_bias.x,acc_bias.y,acc_bias.z,gyr_bias.x,gyr_bias.y,gyr_bias.z,jerk.x,jerk.y,jerk.z,snap.x,snap.y,snap.z,motors
1741408118.5644188,1867,1741408118,560608387,world,1741408118.5606084,0.004392008974850269,0.002876724771788858,1.1598057578192988,9.245905836314732e-06,-0.0008200498301557726,-0.0007435631433095121,0.999999387273133,0.0025918265563539054,0.003116066977250885,7.813635667112485e-06,0.00863482303539057,0.008451815120167691,0.022985384790114347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1741408118.5745173,1868,1741408118,570540190,world,1741408118.5705402,0.0044173536508545505,0.0029076686911479574,1.1598058443444144,4.885257454652337e-05,-0.0007762659195465523,-0.0006259893373475723,0.9999995015808746,0.0024340645738043514,0.003112292174405105,1.149404878397766e-05,0.005095994450322554,0.009052163335729084,0.022477596772023076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1741408118.5843365,1869,1741408118,580568552,world,1741408118.5805686,0.004441380351480444,0.0029388559868761357,1.1598059695109944,7.102956338656638e-05,-0.0007324131366839465,-0.0005173703892932798,0.9999995954267575,0.002283548359548849,0.003101515736135978,1.5470284403285887e-05,0.003507259706614736,0.00710231431599751,0.021217820181869088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1741408118.5943499,1870,1741408118,590532303,world,1741408118.5905323,0.004463776597360219,0.0029697246190944224,1.1598061330427099,8.923632280180277e-05,-0.0007045703872020155,-0.00039438726220846794,0.9999996700380134,0.002142084966954196,0.0030868480707071802,1.861461991849886e-05,0.00317662370488808,0.0026603820467191847,0.03285130009580473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1741408118.6046011,1871,1741408118,600548029,world,1741408118.600548,0.004484884350049016,0.0030005977541638874,1.1598063260415645,0.00010520584648333122,-0.0006910316423011666,-0.00023396183725847181,0.9999997283343922,0.0020042751489745417,0.003068584638609813,2.0884257201454062e-05,0.0013155045393781987,0.003750708205607004,0.03138086351989675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1741408118.614707,1872,1741408118,610538960,world,1741408118.610539,0.004504570411254555,0.0030312040918506074,1.159806540519031,0.00010475798725587411,-0.000667241805821949,-8.054726227805145e-05,0.9999997686631109,0.0018697284857970829,0.0030476708842559945,2.3394937188019854e-05,-0.0035641999171194256,0.008508129401075966,0.034664254776542676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1741408118.6238482,1873,1741408118,620546818,world,1741408118.6205468,0.004522954648722234,0.003061653422609686,1.1598067789024518,8.396502146987815e-05,-0.0006238718557847816,9.411318675430901e-05,0.999999797438225,0.001740799519550552,0.0030279868661075406,2.414445886097951e-05,-0.003777298429794877,0.005774565969090536,0.035687705933706695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1741408118.6339512,1874,1741408118,630530596,world,1741408118.6305306,0.004540029426083505,0.0030918431545662105,1.1598070209580715,7.193422245334975e-05,-0.0006032238658326101,0.0002634721185681459,0.9999997807644151,0.0016200066440199773,0.0030124518323899783,2.444220271682661e-05,0.0025745369643385544,0.0013099438721897927,0.028074701938058694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1741408118.6443508,1875,1741408118,640547752,world,1741408118.6405478,0.0045559605000267695,0.003121984072525745,1.159807267880774,9.097843363265067e-05,-0.0006001278827949446,0.0004131169550305884,0.999999730451879,0.0015017756124340576,0.0029976492625567843,2.5342719432578834e-05,0.007235915245568507,-0.002189571069769362,0.03474512612354658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1741408118.6545498,1876,1741408118,650553942,world,1741408118.650554,0.004570692607955437,0.0031519338397798975,1.159807525158082,0.0001301539207183903,-0.0006172769934168964,0.0006020307828085668,0.9999996197939311,0.0013834289003256226,0.0029779622872996357,2.693993913363763e-05,0.009199002143912657,-0.007454860414099689,0.03956651859164162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
