timestamp,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angular_rates.x,angular_rates.y,angular_rates.z,thrust.x,thrust.y,thrust.z
1743724462.900129,38730,1743724462,899523431,uav/imu,-1.1153287814571888,-1.7243228827627077,0.9727709744907123,0.0,0.0,12.546924249311203
1743724462.9101803,38731,1743724462,909577324,uav/imu,-0.9770055527580607,-1.8016141631522116,0.9781082127415622,0.0,0.0,12.514441097946317
1743724462.9190137,38732,1743724462,918917213,uav/imu,-0.8398214424617743,-1.8755569329905297,0.9828396229447073,0.0,0.0,12.463789189608732
1743724462.9290407,38733,1743724462,928933883,uav/imu,-0.6531370606041458,-1.9443202914186908,0.9941219956705424,0.0,0.0,12.127855442998596
1743724462.9401312,38734,1743724462,939661186,uav/imu,-0.565675094899354,-2.0210940807613658,1.0033423765978182,0.0,0.0,12.328020939465404
1743724462.949122,38735,1743724462,948934323,uav/imu,-0.382546246304282,-2.0856776758289444,1.0151050975020133,0.0,0.0,11.9644076843296
1743724462.9592588,38736,1743724462,959076319,uav/imu,-0.2487615156133673,-2.151827093020452,1.018904201126898,0.0,0.0,11.873031478119842
1743724462.9698977,38737,1743724462,969550274,uav/imu,-0.11583009661052507,-2.2145895190661617,1.023605524166634,0.0,0.0,11.77368076412995
1743724462.979492,38738,1743724462,979230459,uav/imu,0.016064177636406635,-2.2735844600738306,1.0243144335096714,0.0,0.0,11.66939508980759
1743724462.9891236,38739,1743724462,988897679,uav/imu,0.14600786247772388,-2.329302657633098,1.0255503280915708,0.0,0.0,11.559765080023135
1743724462.999962,38740,1743724462,999577505,uav/imu,0.3168489039276312,-2.383521926242137,1.0281427779092838,0.0,0.0,11.143671258801167
1743724463.0095751,38741,1743724463,9356256,uav/imu,0.40016466364566705,-2.429221042329173,1.0238595101744092,0.0,0.0,11.32138030674661
1743724463.0190246,38742,1743724463,18863087,uav/imu,0.5658916759329622,-2.4813128314821467,1.034769293977333,0.0,0.0,10.90224978433313
1743724463.0299563,38743,1743724463,29580307,uav/imu,0.6846307232020544,-2.522861893150988,1.0344246419733922,0.0,0.0,10.778968208166964
1743724463.0394998,38744,1743724463,39235378,uav/imu,0.8043107334329489,-2.5615316615837043,1.0371956999050627,0.0,0.0,10.65697499435448
1743724463.0491405,38745,1743724463,48895905,uav/imu,0.9192913082642307,-2.595900771277206,1.0392043390888244,0.0,0.0,10.543319246211091
1743724463.0599346,38746,1743724463,59566869,uav/imu,1.0336234476613972,-2.625678834876649,1.0392895517842067,0.0,0.0,10.42832140303602
1743724463.0699427,38747,1743724463,69599584,uav/imu,1.1451587420877853,-2.649344232136094,1.034617363621653,0.0,0.0,10.319145893373133
1743724463.079197,38748,1743724463,79003051,uav/imu,1.2547953998198569,-2.6683908827262877,1.0308763135542671,0.0,0.0,10.212450279323425
1743724463.0894406,38749,1743724463,89150207,uav/imu,1.3623914061082887,-2.682305217921102,1.0252726114974366,0.0,0.0,10.112282164214518
1743724463.0999067,38750,1743724463,99570471,uav/imu,1.492500615888726,-2.7143177133318424,1.0206959750616666,0.0,0.0,9.727258064459068
1743724463.1091676,38751,1743724463,108940757,uav/imu,1.5668655038412376,-2.690770534796549,1.0092661021548965,0.0,0.0,9.926452140284326
1743724463.119367,38752,1743724463,119132967,uav/imu,1.6923700358389726,-2.718733902786628,1.0051832133486367,0.0,0.0,9.566370443560409
1743724463.1301177,38753,1743724463,129563562,uav/imu,1.7689622814745227,-2.6778420722056357,0.9954943952215213,0.0,0.0,9.773832928298077
1743724463.1399524,38754,1743724463,139777945,uav/imu,1.886333804880459,-2.700994781164592,0.9879561128079368,0.0,0.0,9.438244873608289
1743724463.1495697,38755,1743724463,149459549,uav/imu,1.9664678947980776,-2.640239036444385,0.9736463216729995,0.0,0.0,9.652187204781985
1743724463.1608503,38756,1743724463,160721018,uav/imu,2.0759389783444924,-2.6585764983309583,0.9612712904524444,0.0,0.0,9.338543972616401
1743724463.170162,38757,1743724463,170054193,uav/imu,2.1634309094761646,-2.579309151589241,0.9466574215101371,0.0,0.0,9.555269354304514
1743724463.179698,38758,1743724463,179481135,uav/imu,2.2634932320866477,-2.591135732429115,0.9271206192211527,0.0,0.0,9.276207140429282
1743724463.1911502,38759,1743724463,190859547,uav/imu,2.360308345724698,-2.4906483773937063,0.910800745183631,0.0,0.0,9.490388905221696
1743724463.1999626,38760,1743724463,199649658,uav/imu,2.4640909926985217,-2.434175296545393,0.8927867675802853,0.0,0.0,9.45692137190741
1743724463.2089944,38761,1743724463,208886052,uav/imu,2.5624250968499056,-2.3745864257889977,0.8740926928004296,0.0,0.0,9.439436756891046
1743724463.2199643,38762,1743724463,219629597,uav/imu,2.664118698776537,-2.311547211065361,0.8615037926773256,0.0,0.0,9.412358149141063
1743724463.2300074,38763,1743724463,229685000,uav/imu,2.7660777545854542,-2.240976046274045,0.8415704386397961,0.0,0.0,9.39485096274449
1743724463.2390819,38764,1743724463,238924684,uav/imu,2.8695113029599866,-2.164296918891752,0.81998914219925,0.0,0.0,9.379237815231917
1743724463.2496178,38765,1743724463,249398439,uav/imu,2.9733539992368736,-2.0849699387628693,0.8057611068218253,0.0,0.0,9.36863754475343
1743724463.260011,38766,1743724463,259472620,uav/imu,3.1287562640658204,-1.9133610313672056,0.7926818150845051,0.0,0.0,9.489236281554405
1743724463.2690454,38767,1743724463,268787425,uav/imu,3.183428132393818,-1.906670451680839,0.7669777934824716,0.0,0.0,9.348485452847381
