state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11
0.0,0.0,0.0,-0.0009416721629190072,-0.0016250039473194049,0.001201062401260097,4.4285399604177676e-05,-8.965379541146807e-05,-8.46830708557325e-05,0.0,0.0,0.0
-4.244047598586083e-06,-7.323773996818251e-06,5.413100440411309e-06,-0.001904980961472165,-0.0011554121460827108,0.0018024634100616097,-0.00017804676486990378,-0.00021752234182008287,-7.181712878001929e-05,0.0,0.0,0.0
-1.0905968465525695e-05,-8.889600049977362e-06,1.0988378110089122e-05,-0.0017578676942927066,-0.0004944220250141502,0.0015026743188177715,-0.00015366958382233075,-0.00031047041559813937,6.460382118490026e-05,0.0,0.0,0.0
-1.3735626460306881e-05,-6.740511399067206e-06,1.2564728708839337e-05,-0.0012010516090768721,-0.00028012979737400195,0.0017956778418406,-0.0001427965132435581,-0.00037076920479153335,2.1835749694476797e-06,0.0,0.0,0.0
-1.3017808099544906e-05,-4.79674203491582e-06,1.5494999143022855e-05,0.0005544863024147887,-0.001134579347323855,0.0003955646178010971,-4.9710602890453107e-05,-0.00019325309936107829,-2.0578397671303675e-05,0.0,0.0,0.0
-3.7299547799247332e-06,-8.040542015985675e-06,9.695234288834731e-06,0.001393683495713845,-0.0007946007432588325,-0.0012901342125515838,-2.028916046276772e-05,-0.00039558520265509437,-0.00011780560740493272,0.0,0.0,0.0
4.883069918061235e-06,-7.855317123013596e-06,-1.4066180476597268e-06,0.0019133453914397763,0.00048772484248530296,-0.003014403145490959,-7.385355632527671e-05,-0.00030995244089511865,5.717805428217069e-05,0.0,0.0,0.0
1.2517603489933515e-05,-1.347302680365068e-06,-1.6585991765199314e-05,0.002061773054366805,-0.0001687252648967997,-0.0024847101287956926,2.620570674850802e-05,-0.00024062108766165964,-5.5809212500665766e-05,0.0,0.0,0.0
1.647163040683931e-05,-1.508993911913744e-06,-2.0598836594230508e-05,0.003093777675622465,0.0015673178055917035,-0.0038228547205363264,1.3452509959046634e-05,-0.00032517323837822753,-6.0710997837948485e-05,0.0,0.0,0.0
2.2902469586134475e-05,6.688352852753405e-06,-2.842208829731025e-05,0.0041647311436798775,0.0022281713073753068,-0.004178176891410612,-5.198659075611117e-05,-0.00045073183657662894,1.3581281062484929e-05,0.0,0.0,0.0
3.2842595976799434e-05,1.4796582465336094e-05,-3.566381256919128e-05,0.003508384804685991,0.002759270015962591,-0.0036935702423796556,8.234508694488808e-05,-0.0005745946746033266,-5.718855662632675e-05,0.0,0.0,0.0
3.521307691512168e-05,2.2194839357656467e-05,-3.761388741813194e-05,0.004296964944564548,0.0018995997725288869,-0.0037842140284083917,2.1147225393339754e-05,-0.0006263588911095436,-0.0001390128704819588,0.0,0.0,0.0
3.723849366893369e-05,1.9766886325169616e-05,-3.608686366924843e-05,0.003290223070709916,0.0020572291464225436,-0.0035002104269698372,-0.00012162230756014378,-0.00057909624576247,-0.00018689307483013714,0.0,0.0,0.0
