angular_rates.x,angular_rates.y,angular_rates.z,thrust.x,thrust.y,thrust.z
0.0020284040793357,-0.0065372864864998,-0.0287329160103617,0.0,0.0,8.21152054844227
0.0015416409443661,-0.0050172771577441,-0.0249207571010385,0.0,0.0,8.211527002496588
0.0009368255516881,-0.0038453571031695,-0.0199566508384539,-0.0589344612811382,0.0,8.21153213751958
0.0004676334138724,-0.0033583654861348,0.0,0.0,0.0,8.211543751189469
0.0002180195912419,-0.0022522969866809,-0.0310580489383537,0.0,0.0,8.211549799745319
-0.0648674860464102,-0.0007838597598372,-0.0231153294393968,0.0,0.0,8.211551465916383
-0.0002706334881467,-0.0606560526926802,0.0354478459244111,0.0,0.0,8.211551252825807
-0.0009464994459345,0.0008397341976927,-0.0289134870722126,0.0,0.0,8.211555750807937
-0.001786455431706,0.0010783598620003,-0.0350656696800149,0.0,0.0,8.211552878181534
-0.0028214780420899,0.001423358992659,0.0423613838564499,0.0,0.0,8.211545556273187
-0.0038053446744093,0.0022484008971381,0.1084695594103716,0.0,0.0,8.211537258019488
-0.0044663527868196,0.0034330299203769,-0.0335280243391135,0.0,0.0,8.211523094604049
-0.0049737085624774,-0.0346031725694305,-0.0336269127383431,0.0,0.0,8.211500169149462
-0.0054268939201809,0.0055514561508757,-0.0297396950833808,0.0,-0.1319966206277022,8.211471678064093
-0.0059087828817724,0.006826134123468,-0.0339992616678826,0.0,0.0,8.211444474522484
-0.0063759710847289,0.0078147999138543,-0.0276866605317034,0.0,0.0,8.211424543768404
-0.0066650662516498,0.0084608100125802,-0.0193775529594944,0.0,0.0,8.211401215027887
-0.0070738079594925,0.0094226927532402,-0.017069330575052,-0.0322065565350602,0.0,8.211373411460976
-0.0078831989331381,0.0105855961906535,-0.025114479959514,0.0,0.0,8.211342516094248
-0.0089835434129477,0.0117179540861249,-0.0276897197094206,0.0,0.0,8.21131503014221
-0.0101061753256778,0.013117864131172,-0.0236192568594267,0.0,0.0,8.211287120142373
-0.0111635319753008,0.0143085117684566,-0.0163150707885646,0.0,0.0,8.211956459117125
-0.0122244673113768,0.0156015929215822,-0.0163991756948954,0.0,0.0,8.211225830320556
-0.0132520411803732,0.0169375613096922,-0.010641458105016,0.0,0.0,8.211196385540829
-0.0142689640428334,0.0183312655036687,-0.0069164411031131,-0.0608572263822247,0.0,8.211167778796234
-0.0154590697817743,0.0194387301098786,-0.0141516215147944,0.0323337579150323,0.0,8.19398618251641
-0.0708336913060065,0.0202907327490453,-0.0118612828256993,0.0,0.0,8.211138743322278
-0.0172686490978663,0.0210335513448406,-0.0099713545891801,0.0,0.0,8.211130051127867
-0.0179955890649793,0.0118476213814942,-0.0105335994984664,-0.0535957099516382,0.0,8.211112761525168
-0.0188294047905607,0.0,-0.0064709166662701,0.0,0.0,8.211092707992279
-0.0197436525885466,0.0225511977950263,-0.0010257298046751,0.0,0.0,8.211085817934668
-0.0207162652789942,0.0230839815034991,-0.1408532455201299,0.0,0.0,8.211079567413655
