timestamp,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angular_rates.x,angular_rates.y,angular_rates.z,thrust.x,thrust.y,thrust.z
1743724556.369052,48077,1743724556,368950210,uav/imu,2.788970397274447,-0.33007983877132174,0.9227933412131134,0.0,0.0,9.17925600334849
1743724556.3788834,48078,1743724556,378795007,uav/imu,2.637121001129381,-0.29674181499224755,0.9188874394375404,0.0,0.0,9.320573736775554
1743724556.389075,48079,1743724556,388944937,uav/imu,2.5086662689197667,-0.38217912989836683,0.9106693712365241,0.0,0.0,9.553062727412298
1743724556.3997526,48080,1743724556,399525931,uav/imu,2.331065712676076,-0.3424331727987827,0.9075372936866007,0.0,0.0,9.686918426682253
1743724556.4101312,48081,1743724556,409620505,uav/imu,2.1611060392420427,-0.36156618158546683,0.8931230803589741,0.0,0.0,9.903810225839269
1743724556.4193285,48082,1743724556,419090955,uav/imu,1.9860488807530061,-0.37869155489358136,0.8906856532370307,0.0,0.0,10.061699500742673
1743724556.4293725,48083,1743724556,429078950,uav/imu,1.8017783881832623,-0.393524621587105,0.8831924935247852,0.0,0.0,10.203904855535848
1743724556.440171,48084,1743724556,439668468,uav/imu,1.6084788665177479,-0.4066874533370565,0.8714961006567892,0.0,0.0,10.327321402589398
1743724556.4496214,48085,1743724556,449287995,uav/imu,1.4070374168614463,-0.4161384038486648,0.866882519402122,0.0,0.0,10.431067124043503
1743724556.4590406,48086,1743724556,458868281,uav/imu,1.1976851025783841,-0.4216420366145731,0.8663675201352903,0.0,0.0,10.513282914697161
1743724556.4699202,48087,1743724556,469469474,uav/imu,0.9058504998544505,-0.35025239757435145,0.8644147253878406,0.0,0.0,10.583615470846215
1743724556.4797666,48088,1743724556,479400642,uav/imu,0.7511658650782673,-0.42614549912994254,0.8533423472046534,0.0,0.0,10.655402558397562
1743724556.4890716,48089,1743724556,488821687,uav/imu,0.4397200699355011,-0.3447239287424474,0.8541351969540081,0.0,0.0,10.623236264917523
1743724556.500139,48090,1743724556,499554116,uav/imu,0.28796902452141704,-0.41630687422300305,0.8476138274256684,0.0,0.0,10.64024063256375
1743724556.5100915,48091,1743724556,509569264,uav/imu,-0.04614603618621366,-0.32656381087144837,0.8462630998842682,0.0,0.0,10.546764710527967
1743724556.5190964,48092,1743724556,518835783,uav/imu,-0.19152898717556727,-0.39383165455230873,0.8378556015209238,0.0,0.0,10.514647058248185
1743724556.529498,48093,1743724556,529071980,uav/imu,-0.5435751515286191,-0.29439184198731866,0.8385670579211917,0.0,0.0,10.359864659699344
1743724556.5399063,48094,1743724556,539426715,uav/imu,-0.799516822493793,-0.2761933198664208,0.8292776738056999,0.0,0.0,10.257256027299382
1743724556.5489888,48095,1743724556,548774810,uav/imu,-1.0501377460169323,-0.2523389640980966,0.8294555499953465,0.0,0.0,10.098090029803004
1743724556.5594504,48096,1743724556,559083944,uav/imu,-1.299530814473949,-0.22572894857788675,0.8329414746962533,0.0,0.0,9.915975535204048
1743724556.5700605,48097,1743724556,569531182,uav/imu,-1.5441877114387415,-0.1993191856410003,0.8242413562644111,0.0,0.0,9.71515357066054
1743724556.5796003,48098,1743724556,579222427,uav/imu,-1.7834818830213803,-0.17059248656221088,0.8175400969717518,0.0,0.0,9.498704065980045
1743724556.589216,48099,1743724556,588914588,uav/imu,-2.015667430617845,-0.14124524744529615,0.8085738646830423,0.0,0.0,9.271194198676401
1743724556.600165,48100,1743724556,599634983,uav/imu,-2.241322607083225,-0.11064461633571186,0.8047444766853814,0.0,0.0,9.033473825448159
1743724556.609512,48101,1743724556,609161480,uav/imu,-2.59222242361536,-0.0058056754459303445,0.8043489794760121,0.0,0.0,8.66287872739497
1743724556.619045,48102,1743724556,618810651,uav/imu,-2.6706749210940535,-0.04813836700995704,0.8144967923970288,0.0,0.0,8.550210028842193
1743724556.630215,48103,1743724556,629586237,uav/imu,-2.991159254006025,0.049375886681220726,0.8034246667817067,0.0,0.0,8.15968773588662
1743724556.6397088,48104,1743724556,639286137,uav/imu,-3.0497027178353777,0.008099437798876133,0.7974640863184506,0.0,0.0,8.082454159814894
1743724556.649069,48105,1743724556,648774673,uav/imu,-3.3343671980598355,0.09553949454483392,0.7824190377498063,0.0,0.0,7.694055982250899
1743724556.6598592,48106,1743724556,659383142,uav/imu,-3.374950375489046,0.05715955878197288,0.7795260040066615,0.0,0.0,7.660861943828793
1743724556.6705775,48107,1743724556,670024311,uav/imu,-3.621391211040833,0.13388534652205616,0.7715314392309675,0.0,0.0,7.291665972229191
1743724556.6792338,48108,1743724556,678961097,uav/imu,-3.744603454105771,0.1457508635704554,0.7652133254997312,0.0,0.0,7.116669410508214
1743724556.6890059,48109,1743724556,688789108,uav/imu,-3.851730865993973,0.15980882719184245,0.7741106629615503,0.0,0.0,6.973788519746252
1743724556.6992733,48110,1743724556,698965785,uav/imu,-3.943220131542773,0.16885207171757538,0.7766366200140663,0.0,0.0,6.8590904144431715
1743724556.709115,48111,1743724556,708858976,uav/imu,-4.01867101392371,0.17453260309676727,0.7724062015127428,0.0,0.0,6.7755677147888935
1743724556.7196248,48112,1743724556,719217267,uav/imu,-4.078923772518655,0.17768774698333775,0.7679629034472085,0.0,0.0,6.724023453140672
1743724556.7304454,48113,1743724556,729785934,uav/imu,-4.192320714904582,0.20613171067468056,0.7795410232085833,0.0,0.0,6.5150652108457665
1743724556.7393422,48114,1743724556,739035749,uav/imu,-4.162941816863046,0.1723961869319468,0.7772026245053044,0.0,0.0,6.709788606132877
