timestamp,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,t,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,velocity.linear.x,velocity.linear.y,velocity.linear.z,velocity.angular.x,velocity.angular.y,velocity.angular.z,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,acc_bias.x,acc_bias.y,acc_bias.z,gyr_bias.x,gyr_bias.y,gyr_bias.z,jerk.x,jerk.y,jerk.z,snap.x,snap.y,snap.z,motors
1743724556.369061,48077,1743724556,366696596,world,1743724556.3666966,1.4274454140303379,-1.8516923320779146,1.0852416989654592,0.06576992141241948,-0.0200470021871723,-0.3053923870434507,-0.9497409778863998,1.8475827021432945,2.5876139057524474,-0.25633978385546746,2.8180679126013706,-0.015278822238132907,0.9984397805277478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1743724556.3788798,48078,1743724556,376690388,world,1743724556.3766904,1.4459092656143218,-1.8257966328951027,1.082691812774083,0.052290042535099876,-0.024577180288824208,-0.3098087232732947,-0.949041763382676,1.8477939930772727,2.60135183408454,-0.2507774048339119,2.7930155967971406,-0.02848232615938974,0.9901959996002452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1743724556.3890743,48079,1743724556,386722326,world,1743724556.3867223,1.4644499344173696,-1.7996695336955,1.0801950821530906,0.03885335414260651,-0.02901296176546071,-0.31415762263556274,-0.9481316644124045,1.849765322208321,2.613028748473643,-0.24251157632659848,2.7603417206652794,-0.04187313179037857,0.9883420995537445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1743724556.3997304,48080,1743724556,396707773,world,1743724556.3967078,1.4829293226030575,-1.7735518777051216,1.0777982131518644,0.025606536939860373,-0.033299341094705594,-0.3184069201237222,-0.9470229629559843,1.853547957436263,2.622442632440551,-0.2318686261677422,2.7220300984215178,-0.05952220010715302,0.9800730187731804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1743724556.4099991,48081,1743724556,406723261,world,1743724556.4067233,1.501506525042447,-1.7472674350250854,1.0755072189695793,0.012484271060436926,-0.03743681138882768,-0.32256584961755025,-0.9457240087835534,1.859223841962422,2.629612235456242,-0.21876752062997745,2.6729185629383925,-0.07964591754654368,0.9637429311098645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1743724556.419263,48082,1743724556,416709423,world,1743724556.4167094,1.520090490060454,-1.7209945667509843,1.0733589628379425,-0.0003855393230105563,-0.04137904968556609,-0.32658357032841095,-0.9442620384184138,1.8667975502293765,2.6344190340668066,-0.2035544803081169,2.6183991102311603,-0.09474535606860318,0.9613357448475248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1743724556.429316,48083,1743724556,426698685,world,1743724556.4266987,1.5387609758437752,-1.6946710961085965,1.071367600773708,-0.013038347174812233,-0.045157853850079456,-0.3305375784148866,-0.9426217051363853,1.8763257874239248,2.6368499177650992,-0.18615881141434146,2.5717694945474534,-0.11067379271836726,0.9523342026226765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1743724556.4400601,48084,1743724556,436724901,world,1743724556.436725,1.5576010737336214,-1.6682319421809815,1.069548441146277,-0.02551971487893756,-0.04879116356018383,-0.3343992830082608,-0.9408216015985722,1.8878692698074078,2.636855622591668,-0.16677650906085426,2.506270175682633,-0.12141344252515081,0.9375391669639378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1743724556.4495158,48085,1743724556,446718216,world,1743724556.4467182,1.5764996192199334,-1.64188557089624,1.067933130365409,-0.0376490185767946,-0.05223824814538443,-0.33814728391673937,-0.9388877095854634,1.9013575087461991,2.634406468747216,-0.14579853423679556,2.4274168607346733,-0.13354436004643475,0.9313491740120263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
1743724556.4590056,48086,1743724556,456696510,world,1743724556.4566965,1.5955090301212242,-1.6156095458738973,1.0665331245338163,-0.049392789881300456,-0.05548391321045082,-0.3418230372438232,-0.9368238355699564,1.9167784916994788,2.6295254838258497,-0.12347802018133996,2.3439727319930226,-0.1432424396428667,0.9300971475763967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0)"
