Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,t,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,velocity.linear.x,velocity.linear.y,velocity.linear.z,velocity.angular.x,velocity.angular.y,velocity.angular.z,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,acc_bias.x,acc_bias.y,acc_bias.z,gyr_bias.x,gyr_bias.y,gyr_bias.z,jerk.x,jerk.y,jerk.z,snap.x,snap.y,snap.z,motors_0,motors_1,motors_2,motors_3
1743728828.174096,13789,1743728828,169411421,world,1743728828.1694114,-3.0000702761953835,-2.999801691335116,1.1598098399151588,0.0004248342689283,0.0003376141653361,0.687672211362189,0.7260210983523524,-0.0061268964579135,-0.0062405910525923,4.399071152924628e-06,0.0054810059780965,0.0148403837912023,-0.0429452316186127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728828.184142,13790,1743728828,179415464,world,1743728828.1794157,-3.000131306959753,-2.999864160597535,1.1598098862938604,0.0003851358401604,0.0004062218809001,0.6875099893323083,0.7261747043394291,-0.0060198997734617,-0.0062519988792658,5.714437048916656e-06,-0.000901347222695,0.0162879629800563,-0.0444045769564791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728828.193956,13791,1743728828,189419270,world,1743728828.1894193,-3.000191253609618,-2.9999267039684727,1.1598099429027486,0.0003295999577505,0.0004566963450721,0.6873538494232639,0.7263224961925226,-0.0059100335094575,-0.0062480739587307,5.699384189041863e-06,-0.0002960959365873,0.0095846355144252,-0.0353738277518117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728828.2038977,13792,1743728828,199299812,world,1743728828.1992998,-3.000249381153919,-2.9999884031897017,1.1598100001058054,0.0003043534479268,0.0004890372467219,0.6872350433982257,0.7264348995863215,-0.0058017541516333,-0.006231333332797,5.883033963828751e-06,0.0059579609516131,0.0020515787399883,-0.0316412161931851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728828.2140768,13793,1743728828,209378004,world,1743728828.209378,-3.000307570246163,-3.000051145487325,1.1598100581055082,0.0003335284700121,0.0005226368472901,0.6870999844865376,0.726562610466631,-0.005688643616656,-0.0062081686973157,3.951687620430728e-06,0.01607895291066,-9.775781631940764e-05,-0.0467834505944013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728828.224109,13794,1743728828,219309330,world,1743728828.219309,-3.000363772543957,-3.000112745539023,1.159810093592907,0.0003963410297505,0.0005845342359632,0.6869269526680565,0.7267261264958711,-0.0055661153653528,-0.0061856556790484,3.0430620978234327e-06,0.0222341597751533,0.0030187822581911,-0.0523029285646743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728828.2337177,13795,1743728828,229290962,world,1743728828.229291,-3.000418990144152,-3.0001744322204758,1.1598101229481652,0.000462943784255,0.0006751115925448,0.686738012077092,0.7269045554099891,-0.0054241420570432,-0.006162998077618,2.4771787532493378e-06,0.0190397292687479,0.0071697698860309,-0.0461446096739801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728828.2442656,13796,1743728828,239315271,world,1743728828.2393153,-3.0004729654304816,-3.0002361500441044,1.1598101466289483,0.0004967529714877,0.0007636375181041,0.6865758433820458,0.7270576190223571,-0.0052603092869288,-0.0061365012049222,2.5950658851346348e-06,0.010574041845852,0.010204726494292,-0.0416745466458729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728828.254281,13797,1743728828,249305725,world,1743728828.2493055,-3.0005250789285727,-3.000297375906049,1.1598101721184035,0.0004971594191018,0.0008364385121953,0.6864267860817701,0.7271982677046056,-0.0050819035734254,-0.0061021810619428,2.8612472603266936e-06,0.0102207709331255,0.01125497059498,-0.0391113663288594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728828.2636733,13798,1743728828,259307384,world,1743728828.2593074,-3.0005754409635155,-3.0003583040706223,1.1598101977874633,0.0004958254322606,0.000925219262212,0.6862832273359145,0.7273336442127913,-0.0048929131749124,-0.0060578459751997,2.250830750083465e-06,0.0169461899397035,0.0169744319033855,-0.0413856779942082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
