Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angular_rates.x,angular_rates.y,angular_rates.z,thrust.x,thrust.y,thrust.z
1743729755.198776,45273,1743729755,198519799,uav/imu,-0.0048228908375249,-0.0154767960265074,0.0271114870228246,0.0,0.0,8.211213753522516
1743729755.2086267,45274,1743729755,208368075,uav/imu,-0.0048148876774958,-0.0167097112609939,0.0260689570738391,0.0,0.0,8.211204434837786
1743729755.2192895,45275,1743729755,218746747,uav/imu,-0.004668003932037,-0.0175085898036831,0.0238971825091078,0.0,0.0,8.211193740304932
1743729755.2291217,45276,1743729755,228644939,uav/imu,-0.0042387771502564,-0.0180772216199629,0.0269055550004907,0.0,0.0,8.211172407575464
1743729755.2388976,45277,1743729755,238428829,uav/imu,-0.0037130157861508,-0.0189925545802146,0.0298337262030766,0.0,0.0,8.211153174456753
1743729755.2489564,45278,1743729755,248488225,uav/imu,-0.0031037533622418,-0.0203027965572211,0.0231499161590369,0.0,0.0,8.211140627228376
1743729755.2589886,45279,1743729755,258681966,uav/imu,-0.0026654270793,-0.0215571061877932,0.0185439424125039,0.0,0.0,8.211135833675584
1743729755.268927,45280,1743729755,268680364,uav/imu,-0.0025955463286207,-0.0225143672808807,0.028647889545477,0.0,0.0,8.21113264017832
1743729755.2785738,45281,1743729755,278410514,uav/imu,-0.0027458555995404,-0.02297304015308,0.0268121084178037,0.0,0.0,8.211132389249281
1743729755.2889297,45282,1743729755,288692934,uav/imu,-0.0030763856328629,-0.023449600248666,0.0249785193751648,0.0,0.0,8.211149630054269
1743729755.2992384,45283,1743729755,298691848,uav/imu,-0.0032743411023777,-0.0234987517053976,0.0278361893867257,0.0,0.0,8.211166196967007
1743729755.3083267,45284,1743729755,308168895,uav/imu,-0.0034723153708453,-0.0240463011193321,0.0244085411572101,0.0,0.0,8.211183758139384
1743729755.319066,45285,1743729755,318745029,uav/imu,-0.0037460394583072,-0.0243717284726085,0.0247435003880606,0.0,0.0,8.211192227942579
1743729755.329163,45286,1743729755,328708200,uav/imu,-0.0041186116173377,-0.0249153604178484,0.0186277765517089,0.0,0.0,8.211210356473895
1743729755.3386016,45287,1743729755,338251537,uav/imu,-0.0044596873177173,-0.0249421362552633,0.0194529061519411,0.0,0.0,8.211227663910913
1743729755.3490849,45288,1743729755,348689201,uav/imu,-0.0046041352572189,-0.0250080937800364,0.0095585910748744,0.0,0.0,8.211249291631072
1743729755.3590057,45289,1743729755,358704731,uav/imu,-0.0046227828646222,-0.0245316909449611,0.0069313686457528,0.0,0.0,8.211267429970825
1743729755.3686657,45290,1743729755,368482819,uav/imu,-0.0045534126299915,-0.0235044953919314,0.0064328836660072,0.0,0.0,8.211269500456902
1743729755.3787198,45291,1743729755,378460285,uav/imu,-0.0045150120721737,-0.0230434621676649,0.0058088222623871,0.0,0.0,8.211259905825829
1743729755.3882637,45292,1743729755,388164256,uav/imu,-0.0045782716473089,-0.0230657248312492,-0.0010435459405811,0.0,0.0,8.21124490475826
1743729755.3987985,45293,1743729755,398565696,uav/imu,-0.0048290090694254,-0.023579511686903,-0.0016937265624204,0.0,0.0,8.211245690763793
1743729755.4100096,45294,1743729755,409602837,uav/imu,-0.0049822920983755,-0.0240502934452267,0.0028258775890348,0.0,0.0,8.211265036842747
1743729755.418923,45295,1743729755,418696021,uav/imu,-0.0049915772559209,-0.0238572716461424,0.0051664948422725,0.0,0.0,8.211278639467125
1743729755.429489,45296,1743729755,429347663,uav/imu,-0.0049342609154102,-0.0235753679882295,0.0045497504525344,0.0,0.0,8.211283092665221
1743729755.4392874,45297,1743729755,439012343,uav/imu,-0.0048838239537674,-0.0232137049389108,0.0055085642575378,0.0,0.0,8.211279489386856
1743729755.4488993,45298,1743729755,448634536,uav/imu,-0.0049783339713889,-0.0231572679230641,0.0053367142881028,0.0,0.0,8.211273569207377
1743729755.4585292,45299,1743729755,458385819,uav/imu,-0.0053355879573612,-0.0230032431980359,0.0014599515786058,0.0,0.0,8.211266225913912
1743729755.4681275,45300,1743729755,468052079,uav/imu,-0.0058968330757879,-0.0227820866701234,-0.0023754387959071,0.0,0.0,8.211251871622347
1743729755.4781291,45301,1743729755,478046991,uav/imu,-0.0066072532066497,-0.0232261713477797,-0.0008228554901312,0.0,0.0,8.211258056117916
1743729755.4881232,45302,1743729755,488010663,uav/imu,-0.0072973507613234,-0.0234388396228763,0.0005267982841094,0.0,0.0,8.211275224299671
1743729755.498211,45303,1743729755,498110586,uav/imu,-0.0077714495657391,-0.0229896854259849,-0.0008157515989487,0.0,0.0,8.21128931212434
1743729755.5087566,45304,1743729755,508511222,uav/imu,-0.0079131154233896,-0.0222758603592291,-0.0058572398071633,0.0,0.0,8.211291145826639
1743729755.5195377,45305,1743729755,518837931,uav/imu,-0.0077588431441543,-0.0218258609319443,-0.008468028295601,0.0,0.0,8.211287265570668
1743729755.5285685,45306,1743729755,528312518,uav/imu,-0.0075225994397851,-0.0224570277749781,0.0006165547798209,0.0,0.0,8.21131393675552
1743729755.5388389,45307,1743729755,538550178,uav/imu,-0.0073978819502731,-0.022908794632639,0.0015566364447164,0.0,0.0,8.211358843262527
1743729755.549124,45308,1743729755,548776449,uav/imu,-0.0071257491373537,-0.0223496985558766,-0.0086449145743315,0.0,0.0,8.211402470557596
1743729755.558281,45309,1743729755,558174407,uav/imu,-0.0066475420418638,-0.021183564124862,-0.0098388197070927,0.0,0.0,8.211438530862361
